Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,9/8/17,42986,31.51,48.96,0.634,17.97,0.409,9/12/17,42990,69,1,,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,9/10/17,42988,26.77,41.54,0.483,16.51,0.34,9/13/17,42991,70,1,,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,9/18/17,42996,30.16,45.38,0.487,16.09,0.316,9/21/17,42999,78,1,,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,9/19/17,42997,25.64,42.41,0.588,16.65,0.372,9/23/17,43001,80,1,,,,,,,,
Coastal,8,0,5,7/5/17,42921,7/10/17,42926,10/1/17,43009,34.89,51.89,0.857,19.8,0.536,10/5/17,43013,92,1,,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,9/12/17,42990,27.32,44.29,0.503,15.93,0.297,9/17/17,42995,74,1,,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,9/15/17,42993,27.79,43.32,0.414,15.02,0.251,9/18/17,42996,75,1,,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,9/16/17,42994,28.38,44.12,0.495,15.57,0.282,9/20/17,42998,77,1,,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,9/18/17,42996,27.31,41.7,0.536,15.23,0.312,9/22/17,43000,79,1,,,,,,,,
Coastal,8,0,6,7/5/17,42921,7/10/17,42926,10/3/17,43011,32.24,50.35,0.799,19.28,0.564,10/6/17,43014,93,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/11/17,42989,26.81,42.41,0.45,16.15,0.327,9/15/17,42993,71,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/14/17,42992,23.91,39.98,0.51,16.41,0.316,9/18/17,42996,74,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/16/17,42994,22.25,38.03,0.428,14.87,0.29,9/19/17,42997,75,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/16/17,42994,26.92,43.8,0.645,18.24,0.384,9/20/17,42998,76,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/25/17,43003,28.08,42.77,0.655,16.61,0.395,9/29/17,43007,85,1,,,,,,,,
Inland,8,0,1,7/6/17,42922,7/10/17,42926,9/28/17,43006,27.36,42.84,0.587,17.29,0.387,10/1/17,43009,87,1,,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,9/9/17,42987,22.94,42.7,0.611,17.03,0.421,9/12/17,42990,68,1,,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,9/10/17,42988,31.18,47.34,0.67,17.89,0.417,9/13/17,42991,69,1,,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,9/10/17,42988,23.11,40.64,0.603,16.28,0.393,9/13/17,42991,69,1,,,,,,,,
Inland,8,0,2,7/6/17,42922,7/10/17,42926,9/28/17,43006,29.78,49,0.882,19.6,0.563,10/1/17,43009,87,1,,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,8/31/17,42978,22.27,37.5,0.495,15.2,0.33,9/3/17,42981,59,1,,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,9/8/17,42986,26.19,43.1,0.598,17.67,0.407,9/12/17,42990,68,1,,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,3,7/6/17,42922,7/10/17,42926,9/20/17,42998,33.42,52.38,0.883,18.61,0.597,9/24/17,43002,80,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,9/9/17,42987,23.09,40.14,0.461,15.77,0.315,9/12/17,42990,68,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,9/11/17,42989,24.18,37.71,0.4,14.18,0.235,9/15/17,42993,71,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,9/24/17,43002,22.82,39.06,0.565,14.76,0.306,9/28/17,43006,84,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,9/25/17,43003,22.33,38.83,0.482,15.28,0.319,9/28/17,43006,84,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,9/27/17,43005,23.41,39.2,0.499,15.09,0.343,9/30/17,43008,86,1,,,,,,,,
Inland,8,0,4,7/6/17,42922,7/10/17,42926,10/1/17,43009,28.6,43.97,0.669,16.36,0.395,10/4/17,43012,90,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/11/17,42989,20.1,35.79,0.39,14.57,0.285,9/13/17,42991,69,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/12/17,42990,24.86,38.96,0.437,15.48,0.303,9/15/17,42993,71,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/17/17,42995,22.11,36.9,0.475,15.26,0.331,9/20/17,42998,76,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/14/17,42992,26.24,42.42,0.537,16.89,0.319,9/18/17,42996,74,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/26/17,43004,29.36,44.64,0.611,16.17,0.385,9/30/17,43008,86,1,,,,,,,,
Inland,8,0,5,7/6/17,42922,7/10/17,42926,9/27/17,43005,25.2,40.57,0.54,16.32,0.363,9/30/17,43008,86,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/5/17,42983,23.4,37.97,0.45,16.45,0.308,9/8/17,42986,64,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/7/17,42985,27.39,43.73,0.678,17.1,0.38,9/11/17,42989,67,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/9/17,42987,22.94,36.83,0.463,16.09,0.32,9/12/17,42990,68,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/16/17,42994,29.55,44.22,0.481,15.16,0.269,9/20/17,42998,76,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/15/17,42993,26.64,41.58,0.487,15.8,0.334,9/18/17,42996,74,1,,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,0,6,7/6/17,42922,7/10/17,42926,9/18/17,42996,27,45.26,0.527,16.34,0.342,9/22/17,43000,78,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,9/13/17,42991,26.86,44.72,0.546,15.52,0.318,9/17/17,42995,74,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,9/15/17,42993,27.48,43.24,0.542,15.88,0.298,9/18/17,42996,75,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,9/19/17,42997,26.02,42.06,0.518,15.89,0.302,9/22/17,43000,79,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,9/19/17,42997,33.58,48.69,0.658,18.24,0.387,9/22/17,43000,79,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,9/22/17,43000,29.77,47.67,0.637,17.95,0.398,9/26/17,43004,83,1,,,,,,,,
Coastal,8,4,1,7/5/17,42921,7/10/17,42926,10/6/17,43014,31.37,51.25,0.889,17.42,0.497,10/11/17,43019,98,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/5/17,42983,22.39,35.87,0.466,14.83,0.324,9/8/17,42986,65,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/13/17,42991,27.14,40.75,0.544,17.04,0.336,9/16/17,42994,73,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/15/17,42993,26.65,43.32,0.59,15.79,0.336,9/19/17,42997,76,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/16/17,42994,28.35,44.17,0.532,16.09,0.322,9/19/17,42997,76,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/17/17,42995,30.94,46.88,0.633,16.66,0.354,9/21/17,42999,78,1,,,,,,,,
Coastal,8,4,2,7/5/17,42921,7/10/17,42926,9/20/17,42998,28.53,44.59,0.566,16.1,0.329,9/24/17,43002,81,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/11/17,42989,24.53,39.7,0.411,14.59,0.24,9/14/17,42992,71,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/15/17,42993,28.26,44.32,0.448,16.37,0.294,9/18/17,42996,75,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/18/17,42996,25.28,40.05,0.451,14.87,0.257,9/22/17,43000,79,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/20/17,42998,26.96,42.42,0.426,15.51,0.225,9/25/17,43003,82,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/23/17,43001,27.18,41.41,0.552,17.68,0.343,9/26/17,43004,83,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,9/30/17,43008,29.47,44.05,0.443,,,,,,1,dead at mm,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,10/8/17,43016,26.37,42.43,0.541,16.22,0.415,10/12/17,43020,99,1,,,,,,,,
Coastal,8,4,3,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,9/12/17,42990,27.34,43.21,0.608,17.53,0.363,9/15/17,42993,72,1,,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,9/17/17,42995,20.09,36.34,0.438,15.24,0.308,9/19/17,42997,76,1,,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,9/22/17,43000,27,41.9,0.479,15.74,0.304,9/26/17,43004,83,1,,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,9/28/17,43006,30.42,46.11,0.661,16.53,0.407,10/1/17,43009,88,1,,,,,,,,
Coastal,8,4,4,7/5/17,42921,7/10/17,42926,9/30/17,43008,30.31,44.41,0.662,18.27,0.456,10/3/17,43011,90,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,9/11/17,42989,24.77,41.8,0.562,17.3,0.367,9/14/17,42992,71,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,9/16/17,42994,26.51,40.42,0.417,15.33,0.278,9/19/17,42997,76,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,9/25/17,43003,28.58,42.67,0.54,15.95,0.325,9/29/17,43007,86,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,9/29/17,43007,24.86,40,0.46,15.83,0.285,10/2/17,43010,89,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,10/3/17,43011,27.66,42.87,0.587,16.53,0.389,10/6/17,43014,93,1,,,,,,,,
Coastal,8,4,5,7/5/17,42921,7/10/17,42926,10/11/17,43019,34.86,48.03,0.75,19.01,0.464,10/15/17,43023,102,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/8/17,42986,21.49,39.02,0.458,17.12,0.3,9/11/17,42989,68,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/14/17,42992,27.88,45.49,0.518,16.97,0.323,9/17/17,42995,74,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/17/17,42995,26.18,40.16,0.443,16.04,0.251,9/21/17,42999,78,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/18/17,42996,29.59,43.73,0.58,17.75,0.372,9/21/17,42999,78,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/26/17,43004,27.26,41.19,0.511,15.64,0.32,9/29/17,43007,86,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,9/26/17,43004,25.77,43.56,0.548,17.34,0.343,9/30/17,43008,87,1,,,,,,,,
Coastal,8,4,6,7/5/17,42921,7/10/17,42926,10/3/17,43011,28.7,45.83,0.643,17.16,0.431,10/6/17,43014,93,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/10/17,42988,23.97,40.92,0.575,17.84,0.388,9/13/17,42991,69,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/13/17,42991,20.53,38.14,0.508,16.11,0.336,9/16/17,42994,72,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/21/17,42999,22.84,38.53,0.497,15.13,0.284,9/26/17,43004,82,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/21/17,42999,27.67,43.23,0.511,15.81,0.297,9/27/17,43005,83,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/23/17,43001,27.2,43.24,0.593,16.15,0.357,9/27/17,43005,83,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,9/28/17,43006,23.43,38.26,0.487,15.8,0.288,10/2/17,43010,88,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,10/10/17,43018,18.07,36.88,0.537,16.66,0.341,10/15/17,43023,101,1,,,,,,,,
Inland,8,4,1,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/14/17,42992,24.54,39.44,0.458,16.54,0.293,9/17/17,42995,73,1,,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/19/17,42997,25.45,42.74,0.62,16.39,0.331,9/24/17,43002,80,1,,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/23/17,43001,26.51,39.87,0.52,15.97,0.328,9/27/17,43005,83,1,,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/26/17,43004,23.78,41.81,0.53,17.37,0.354,9/29/17,43007,85,1,,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/27/17,43005,22.91,35.48,0.451,15.7,0.285,9/30/17,43008,86,1,,,,,,,,
Inland,8,4,2,7/6/17,42922,7/10/17,42926,9/28/17,43006,27.07,43.82,0.607,17.77,0.412,10/1/17,43009,87,1,,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,9/8/17,42986,23.04,38.37,0.49,15.96,0.35,9/11/17,42989,67,1,,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,9/8/17,42986,26.54,40.6,0.567,16.8,0.37,9/11/17,42989,67,1,,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,9/19/17,42997,24.12,37.99,0.461,14.75,0.297,9/22/17,43000,78,1,,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,9/21/17,42999,24.79,41.16,0.58,17.01,0.357,9/25/17,43003,81,1,,,,,,,,
Inland,8,4,3,7/6/17,42922,7/10/17,42926,9/29/17,43007,26.11,41.82,0.639,16.73,0.437,10/2/17,43010,88,1,,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,9/7/17,42985,28.33,45.7,0.645,18.42,0.426,9/10/17,42988,66,1,,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,9/9/17,42987,27.88,44.3,0.584,16.62,0.383,9/12/17,42990,68,1,,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,9/10/17,42988,25.47,42.11,0.562,17.66,0.37,9/13/17,42991,69,1,,,,,,,,
Inland,8,4,4,7/6/17,42922,7/10/17,42926,9/14/17,42992,28.31,45.22,0.636,17.55,0.428,9/17/17,42995,73,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/9/17,42987,26.11,42.56,0.552,16.91,0.354,9/12/17,42990,68,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/18/17,42996,31.26,45.62,0.677,17.59,0.426,9/22/17,43000,78,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/22/17,43000,24.97,40.66,0.539,15.96,0.364,9/25/17,43003,81,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/25/17,43003,24.98,41.51,0.623,16.39,0.414,9/29/17,43007,85,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/28/17,43006,22.17,38.07,0.467,15.57,0.288,10/1/17,43009,87,1,,,,,,,,
Inland,8,4,5,7/6/17,42922,7/10/17,42926,9/29/17,43007,27.5,43.38,0.528,16.86,0.347,10/2/17,43010,88,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,dead,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/14/17,42992,29.75,45.73,0.527,16.55,0.319,9/17/17,42995,73,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/14/17,42992,29.83,45.17,0.578,17.55,0.327,9/18/17,42996,74,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/15/17,42993,25.43,40.96,0.457,15.9,0.257,9/19/17,42997,75,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/19/17,42997,25.65,39.42,0.47,16.03,0.303,9/22/17,43000,78,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/19/17,42997,24.22,40.64,0.527,15.89,0.309,9/23/17,43001,79,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/27/17,43005,26.36,40.86,0.559,17.58,0.391,9/30/17,43008,86,1,,,,,,,,
Inland,8,4,6,7/6/17,42922,7/10/17,42926,9/27/17,43005,24.81,39.77,0.503,14.51,0.333,9/30/17,43008,86,1,,,,,,,,
