Location,Density,Sal,Replicate,Hatch_date,Julian_hatch,Start_Date,Julian_start,Date_MM,Julian_MM,MM_tail,MM_total,Mass_MM,Final_length,Final_mass,Final_date,Julian_final,Time_MM,Dead,Dead_date,,,,,,,
Inland,2,4,2,7/6/17,42922,7/10/17,42926,8/23/17,42970,28.67,44.52,0.528,15.34,0.377,8/27/17,42974,52,1,,,,,,,,
Inland,2,4,3,7/6/17,42922,7/10/17,42926,8/14/17,42961,23.39,37.99,0.435,16.62,0.288,8/17/17,42964,42,1,,,,,,,,
Inland,2,4,3,7/6/17,42922,7/10/17,42926,8/17/17,42964,24.5,41.54,0.496,17.22,0.327,8/20/17,42967,45,1,,,,,,,,
Inland,2,4,4,7/6/17,42922,7/10/17,42926,8/26/17,42973,33.48,50.08,0.828,18.85,0.526,8/29/17,42976,54,1,,,,,,,,
Inland,2,4,4,7/6/17,42922,7/10/17,42926,,,,,,,,,,,0,,,,,,,,
Inland,2,4,5,7/6/17,42922,7/10/17,42926,8/14/17,42961,19.26,38.11,0.391,15.8,0.263,8/17/17,42964,42,1,,,,,,,,
Inland,2,4,5,7/6/17,42922,7/10/17,42926,8/29/17,42976,36.49,51.98,0.93,20.31,0.581,9/2/17,42980,58,1,,,,,,,,
Inland,2,4,6,7/6/17,42922,7/10/17,42926,8/14/17,42961,27.04,40.5,0.494,16.64,0.297,8/17/17,42964,42,1,,,,,,,,
Inland,2,4,6,7/6/17,42922,7/10/17,42926,8/31/17,42978,37.27,54.84,1.036,20.41,0.684,9/3/17,42981,59,1,,,,,,,,
Coastal,4,0,1,7/5/17,42921,7/10/17,42926,8/19/17,42966,21.75,36.87,0.357,15.62,0.219,8/22/17,42969,48,1,,,,,,,,
Coastal,4,0,1,7/5/17,42921,7/10/17,42926,8/22/17,42969,27.89,41.75,0.517,16.58,0.325,8/25/17,42972,51,1,,,,,,,,
Coastal,4,0,1,7/5/17,42921,7/10/17,42926,9/9/17,42987,35.45,53.59,1.027,20.52,0.625,9/13/17,42991,70,1,,,,,,,,
Coastal,4,0,1,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Coastal,4,0,2,7/5/17,42921,7/10/17,42926,,,,,,,,,,,0,,dead,,,,,,
Coastal,4,0,2,7/5/17,42921,7/10/17,42926,8/25/17,42972,23.82,38.88,0.392,14.59,0.253,8/28/17,42975,54,1,,,,,,,,
Coastal,4,0,2,7/5/17,42921,7/10/17,42926,8/30/17,42977,18.55,32.29,0.445,14.75,0.249,9/5/17,42983,62,1,,,,,,,,
Coastal,4,0,2,7/5/17,42921,7/10/17,42926,9/5/17,42983,26.77,45.57,0.83,19.97,0.555,9/8/17,42986,65,1,,,,,,,,
Coastal,4,0,3,7/5/17,42921,7/10/17,42926,8/28/17,42975,22.21,37.8,0.386,15.01,0.236,8/31/17,42978,57,1,,,,,,,,
Coastal,4,0,3,7/5/17,42921,7/10/17,42926,8/31/17,42978,22.57,37.56,0.471,15.89,0.31,9/3/17,42981,60,1,,,,,,,,
Coastal,4,0,3,7/5/17,42921,7/10/17,42926,9/6/17,42984,27.43,45.93,0.72,18.88,0.502,9/9/17,42987,66,1,,,,,,,,
Coastal,4,0,3,7/5/17,42921,7/10/17,42926,9/8/17,42986,33.15,48.81,0.905,20.79,0.584,9/12/17,42990,69,1,,,,,,,,
Coastal,4,0,4,7/5/17,42921,7/10/17,42926,9/8/17,42986,32.71,51.05,0.84,17.44,0.47,9/11/17,42989,68,1,,,9/4/17,28.8,41.2,0.561,,
Coastal,4,0,4,7/5/17,42921,7/10/17,42926,8/30/17,42977,21.5,36.23,0.368,15.52,0.237,9/2/17,42980,59,1,,4,,,,,,
Coastal,4,0,4,7/5/17,42921,7/10/17,42926,8/31/17,42978,,38.72,0.522,17.11,0.305,9/4/17,42982,61,1,,,,,,,,
Coastal,4,0,4,7/5/17,42921,7/10/17,42926,9/4/17,42982,30.68,44.07,0.594,17.52,0.37,9/8/17,42986,65,1,,,,,,,,
Coastal,4,0,5,7/5/17,42921,7/10/17,42926,8/30/17,42977,27.91,41.79,0.471,16.29,0.306,9/2/17,42980,59,1,,1,,,,,,
